0:0:0:0:0:0:0:1 - - [06/Mar/2024:16:25:13 +0530] "GET /ProductManagementApp/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:16:28:06 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 2021131
0:0:0:0:0:0:0:1 - - [06/Mar/2024:16:28:06 +0530] "GET /ProductManagementApp/logo.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Mar/2024:16:28:11 +0530] "GET /ProductManagementApp/logo.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Mar/2024:16:28:11 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 2022815
0:0:0:0:0:0:0:1 - - [06/Mar/2024:16:28:54 +0530] "GET /ProductManagementApp/productList.jsp HTTP/1.1" 200 2022815
0:0:0:0:0:0:0:1 - - [06/Mar/2024:16:28:54 +0530] "GET /ProductManagementApp/logo.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Mar/2024:16:35:49 +0530] "GET /ProductManagementApp/logo.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Mar/2024:16:35:49 +0530] "GET /ProductManagementApp/DeleteProductServlet?proId=123 HTTP/1.1" 200 1977985
0:0:0:0:0:0:0:1 - - [06/Mar/2024:16:40:36 +0530] "GET /ProductManagementApp/DeleteProductServlet?proId=1237 HTTP/1.1" 200 1821908
0:0:0:0:0:0:0:1 - - [06/Mar/2024:16:40:36 +0530] "GET /ProductManagementApp/logo.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Mar/2024:16:44:23 +0530] "GET /ProductManagementApp/DeleteProductServlet?proId=555 HTTP/1.1" 200 1821906
0:0:0:0:0:0:0:1 - - [06/Mar/2024:16:44:23 +0530] "GET /ProductManagementApp/logo.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:04:34 +0530] "GET /ProductManagementApp/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:04:34 +0530] "GET /ProductManagementApp/logo.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:04:48 +0530] "GET /ProductManagementApp/add-product.html HTTP/1.1" 200 2952
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:04:48 +0530] "GET /ProductManagementApp/formvalidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:05:15 +0530] "POST /ProductManagementApp/AddProductServlet HTTP/1.1" 200 2267739
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:05:15 +0530] "GET /ProductManagementApp/logo.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:05:22 +0530] "GET /ProductManagementApp/DeleteProductServlet?proId=8900 HTTP/1.1" 200 2267729
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:05:22 +0530] "GET /ProductManagementApp/logo.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:05:49 +0530] "GET /ProductManagementApp/DeleteProductServlet?proId=8900 HTTP/1.1" 200 1821914
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:05:49 +0530] "GET /ProductManagementApp/logo.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:05:55 +0530] "GET /ProductManagementApp/DeleteProductServlet?proId=555 HTTP/1.1" 200 1785680
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:05:55 +0530] "GET /ProductManagementApp/logo.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:05:59 +0530] "GET /ProductManagementApp/DeleteProductServlet?proId=999 HTTP/1.1" 200 1561886
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:05:59 +0530] "GET /ProductManagementApp/logo.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:06:01 +0530] "GET /ProductManagementApp/DeleteProductServlet?proId=777 HTTP/1.1" 200 1194126
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:06:01 +0530] "GET /ProductManagementApp/logo.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:06:04 +0530] "GET /ProductManagementApp/DeleteProductServlet?proId=6677 HTTP/1.1" 200 826363
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:06:04 +0530] "GET /ProductManagementApp/logo.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:06:07 +0530] "GET /ProductManagementApp/DeleteProductServlet?proId=6789 HTTP/1.1" 200 690335
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:06:07 +0530] "GET /ProductManagementApp/logo.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:06:09 +0530] "GET /ProductManagementApp/DeleteProductServlet?proId=125 HTTP/1.1" 200 273739
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:06:09 +0530] "GET /ProductManagementApp/logo.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:06:11 +0530] "GET /ProductManagementApp/DeleteProductServlet?proId=898 HTTP/1.1" 200 137708
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:06:11 +0530] "GET /ProductManagementApp/logo.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:06:13 +0530] "GET /ProductManagementApp/DeleteProductServlet?proId=890 HTTP/1.1" 200 1671
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:06:13 +0530] "GET /ProductManagementApp/logo.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:06:36 +0530] "POST /ProductManagementApp/AddProductServlet HTTP/1.1" 200 447508
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:06:36 +0530] "GET /ProductManagementApp/logo.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:06:45 +0530] "GET /ProductManagementApp/DeleteProductServlet?proId=8900 HTTP/1.1" 200 1671
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:06:45 +0530] "GET /ProductManagementApp/logo.png HTTP/1.1" 404 784
